sector_va,sector_hours
Altre attività di servizi,Altre attività di servizi
Attività finanziarie e assicurative,Attività finanziarie e assicurative
"Attività professionali, scientifiche e tecniche","Attività professionali, scientifiche e tecniche"
"Commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli","Commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli"
Costruzioni,Costruzioni
"Fornitura di energia elettrica, gas, vapore e aria condizionata","Fornitura di energia elettrica, gas, vapore e aria condizionata"
Istruzione,Istruzione
Sanità e assistenza sociale,Sanità e assistenza sociale
Servizi di informazione e comunicazione,Servizi di informazione e comunicazione
Trasporti e magazzinaggio,Trasporto e magazzinaggio
Servizi di alloggio e di ristorazione,Attività dei servizi di alloggio e di ristorazione
Attività amministrative e di servizi di supporto,"Noleggio, agenzie di viaggio, servizi di supporto alle imprese"
"Attività artistiche, di intrattenimento e divertimento","Attività artistiche, sportive, di intrattenimento e divertimento"
Industria manifatturiera,Attività manifatturiere
"Fornitura di acqua, reti fognarie, attività di trattamento dei rifiuti e risanamento","Fornitura di acqua reti fognarie, attività di gestione dei rifiuti e risanamento"
